ANO,NORDEM,NUTS2,DTCC_COD,CC_DSG,C10001,C20001,C21001,C21011,C21021,C21031,C21041,C21061,C21071,C21081,C21091,C21101,C21111,C21121,C21131,C21141,C21151,C21161,C21171,C21181,C21191,C21201,C21211,C21221,C21231,C21241,C21251,C21261,C21271,C21281,C21291,C21301,C21311,C21321,C21331,C21341,C21351,C21361,C21371,C21381,C21391,C21401,C21411,C21421,C21431,C21441,C22001,C23001,C24001,C30001,C31001,C31011,C31021,C31031,C31041,C31051,C31061,C31071,C32001
2012,229,17,1504,Barreiro,1458,247,159,2,11,0,5,0,19,0,0,2,1,0,2,0,0,0,13,0,0,1,0,0,4,0,26,0,0,0,4,0,6,3,7,6,10,13,7,5,1,5,4,0,2,0,4,57,27,493,39,8,19,2,2,3,5,0,454
2012,206,17,1507,Montijo,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46
2012,65,16,0502,Castelo Branco,894,111,89,0,8,0,5,0,10,0,0,0,1,0,0,3,5,0,3,0,1,0,0,0,2,1,15,0,6,0,1,0,2,0,5,3,2,6,1,3,0,2,0,1,3,0,0,18,4,337,0,0,0,0,0,0,0,0,337
2012,106,17,1114,Vila Franca de Xira,801,166,108,0,12,0,7,0,12,0,0,0,2,0,0,0,2,0,9,0,0,1,0,0,2,0,16,0,0,0,2,0,6,1,12,4,1,10,3,0,0,3,0,0,3,0,7,22,29,264,36,4,16,5,2,2,7,0,228
2012,209,11,1315,Valongo,221,13,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88,8,0,0,1,0,1,6,0,80
2012,115,16,1009,Leiria,1461,246,171,2,20,0,6,0,20,0,0,0,4,0,0,2,5,0,19,0,1,1,0,0,3,0,26,0,0,0,3,0,9,0,15,4,1,16,1,8,2,0,0,0,3,0,0,49,26,566,48,11,21,3,8,1,3,1,518
2012,189,16,1015,Pombal,136,10,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,58,5,2,0,1,0,1,1,0,53
2012,199,16,1823,Viseu,2032,483,299,2,30,2,12,0,25,1,1,1,4,1,0,0,6,0,21,3,0,1,0,1,5,22,35,0,7,3,5,3,8,2,16,6,8,24,9,13,2,13,0,2,5,0,5,143,36,680,103,21,26,17,18,4,14,3,577
2012,57,11,0402,Bragança,586,86,51,0,5,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,13,0,1,0,1,0,1,0,3,2,2,4,1,3,1,0,0,0,1,0,1,21,13,237,53,7,12,14,7,4,7,2,184
2012,148,11,0405,Macedo de Cavaleiros,262,17,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,90,17,0,0,7,0,0,10,0,73
2012,124,11,0407,Mirandela,293,36,33,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,2,2,3,0,0,0,2,0,0,1,0,0,0,3,106,15,4,0,7,0,1,3,0,91
2012,60,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,24,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,5,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,62,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,216,16,0603,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,88,16,0101,Águeda,190,17,15,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,2,0,86,10,2,0,1,1,1,5,0,76
2012,118,16,0108,Estarreja,79,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,23
2012,205,30,3103,Funchal,515,83,57,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,18,8,197,10,0,0,3,2,0,5,0,187
2012,131,30,3103,Funchal,169,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,1,1,0,1,0,48
2012,41,20,4701,Horta,488,46,30,0,3,0,2,0,3,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,2,1,2,0,2,0,1,0,0,1,0,0,14,2,126,19,1,8,7,0,0,1,2,107
2012,130,18,1509,Santiago do Cacém,415,43,34,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0,0,0,1,0,9,0,0,165,12,0,1,5,0,0,0,6,153
2012,75,16,0115,Ovar,180,27,27,0,6,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,3,1,0,3,0,0,0,1,0,0,1,0,0,0,0,45,3,0,0,2,0,0,1,0,42
2012,128,16,0103,Anadia,119,7,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,35,6,0,0,3,1,0,1,1,29
2012,111,16,0602,Cantanhede,105,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,1,0,33
2012,14,11,1312,Porto,392,53,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,20,0,128,76,0,0,0,72,2,2,0,52
2012,151,17,1115,Amadora,2587,529,337,3,32,0,14,0,20,1,4,3,0,4,2,0,10,0,22,0,4,3,0,0,6,0,47,0,7,0,9,4,16,7,13,12,7,34,11,18,2,13,0,0,8,0,17,146,29,833,40,8,11,6,3,0,0,12,793
2012,217,16,0603,Coimbra,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,4,0,1,0,3,0,0,0,6
2012,153,16,0603,Coimbra,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,218,16,0603,Coimbra,65,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,0,6,6,3,0,0,0,3,0,0,0
2012,42,11,1312,Porto,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,5,0,0,0,4,1,0,0,6
2012,221,11,1308,Matosinhos,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2012,12,17,1106,Lisboa,71,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,4,0,0,0,4,0,0,0,8
2012,71,17,1106,Lisboa,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2012,6,16,0602,Cantanhede,147,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,48,5,0,1,0,0,0,4,0,43
2012,138,16,1113,Torres Vedras,120,16,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,22,4,1,0,0,2,0,0,1,18
2012,149,11,0302,Barcelos,491,75,48,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,5,2,1,9,2,0,0,0,0,0,0,0,1,8,18,172,16,11,0,0,0,0,5,0,156
2012,200,11,1308,Matosinhos,1685,364,240,3,37,0,6,0,16,0,0,2,4,3,3,1,5,0,19,2,1,2,0,0,5,3,31,0,1,0,2,5,9,2,12,10,7,27,4,4,1,7,0,0,6,0,11,82,31,604,94,15,32,28,5,2,11,1,510
2012,59,16,0603,Coimbra,930,152,122,7,11,0,3,0,14,1,0,0,5,0,2,1,5,0,9,0,0,2,2,1,1,0,7,3,0,0,2,0,0,13,0,4,5,0,3,1,0,8,8,0,4,0,0,30,0,252,20,1,0,10,1,6,2,0,232
2012,105,18,1416,Santarém,1359,251,146,2,14,1,8,0,12,0,0,1,5,0,0,0,2,0,14,0,0,1,0,1,1,1,21,0,0,0,3,0,4,1,7,4,3,15,4,8,3,7,0,0,3,0,2,74,29,457,75,14,17,13,9,4,10,8,382
2012,146,17,1503,Almada,2481,493,314,4,28,5,16,0,15,1,2,2,8,3,5,0,9,0,18,4,0,3,0,1,7,0,25,4,10,8,8,7,10,3,9,9,13,30,9,10,4,10,0,7,7,0,7,141,31,870,77,12,35,5,2,4,12,7,793
2012,175,16,1419,Torres Novas,577,65,45,0,2,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,12,0,5,0,1,0,0,0,0,0,3,7,4,0,0,1,0,0,0,0,1,11,8,178,16,2,2,6,1,0,5,0,162
2012,120,16,1401,Abrantes,778,74,58,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,13,0,0,6,0,0,0,2,0,0,0,0,0,8,8,329,36,9,12,5,2,1,7,0,293
2012,213,16,1418,Tomar,482,53,44,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,2,0,7,1,1,0,1,3,0,0,3,6,159,16,2,2,2,4,0,2,4,143
2012,32,17,1106,Lisboa,1845,293,217,11,25,0,3,0,21,1,2,1,5,0,5,4,9,0,6,13,0,7,0,1,2,0,6,3,0,0,7,0,1,14,0,9,7,10,7,3,0,17,12,0,5,0,2,74,0,512,18,2,0,6,3,2,3,2,494
2012,154,16,0504,Fundão,171,24,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,52,6,0,0,2,1,1,2,0,46
2012,208,15,0811,Portimão,183,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,71
2012,164,15,0811,Portimão,1391,172,118,1,11,0,2,0,15,0,0,0,2,0,0,0,4,0,7,0,0,2,0,0,2,7,15,0,0,0,2,0,3,3,7,4,3,8,4,4,0,10,0,0,2,0,0,33,21,526,34,9,13,6,4,0,0,2,492
2012,182,17,1512,Setúbal,1880,311,214,4,21,0,11,0,22,0,1,3,4,6,4,4,7,0,16,2,5,3,0,0,4,0,20,0,9,0,6,0,8,4,0,3,6,13,5,9,1,8,0,0,4,0,12,53,32,613,65,10,27,8,8,1,5,6,548
2012,108,17,1512,Setúbal,272,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,77,3,0,0,0,1,0,2,0,74
2012,16,17,1106,Lisboa,1723,312,202,0,19,2,8,0,15,0,0,0,0,0,0,0,2,0,15,6,0,4,0,0,2,0,42,0,0,0,0,0,0,2,10,0,19,26,0,18,4,8,0,0,0,0,1,82,27,558,82,16,39,3,6,1,12,5,476
2012,28,17,1106,Lisboa,1425,344,222,2,31,3,4,0,15,0,0,15,2,8,7,5,6,1,0,0,2,4,0,0,3,0,21,0,0,11,12,6,16,0,0,13,8,0,9,0,0,5,0,7,6,0,0,100,22,417,30,1,0,12,0,0,15,2,387
2012,90,17,1110,Oeiras,728,116,85,1,10,0,21,7,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,19,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,26,5,298,27,7,0,9,2,0,8,1,271
2012,116,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,53,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,33,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,46,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,100,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,68,17,1106,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,45,11,0308,Guimarães,1401,312,193,0,20,3,10,0,18,0,0,0,3,0,0,1,6,0,19,0,3,3,0,0,4,1,20,0,0,0,5,0,2,3,16,8,6,26,4,4,1,3,0,0,4,0,0,75,44,512,60,7,15,13,6,0,19,0,452
2012,95,11,0307,Fafe,177,12,12,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,6,1,0,3,0,0,1,1,62
2012,223,18,0705,Évora,1454,273,154,3,11,0,10,0,12,0,1,2,2,0,0,2,4,0,7,1,0,1,0,0,2,0,23,0,5,0,0,1,9,3,6,4,5,21,4,4,1,7,0,0,3,0,3,97,19,483,72,12,18,13,14,2,12,1,411
2012,170,11,1314,Santo Tirso,459,79,58,0,6,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,12,0,0,0,0,0,1,1,6,3,1,5,1,4,0,5,0,0,0,0,16,5,0,153,35,3,1,7,9,0,0,15,118
2012,83,11,0312,Vila Nova de Famalicão,808,243,150,0,11,0,6,0,17,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,3,0,23,0,0,0,1,1,3,0,11,1,3,32,1,3,1,9,0,0,0,0,44,15,34,246,57,13,19,11,2,0,0,12,189
2012,224,18,1214,Portalegre,800,87,46,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,0,9,0,2,0,0,0,1,0,3,0,2,4,2,3,0,1,0,0,1,0,0,38,3,271,36,4,10,3,10,6,3,0,235
2012,190,18,1207,Elvas,384,35,30,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,7,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,5,0,124,14,1,2,4,1,3,2,1,110
2012,198,11,1714,Vila Real,1515,307,182,1,19,0,13,0,18,1,0,1,3,0,1,0,4,1,8,3,0,3,0,2,3,0,22,0,4,0,6,0,5,7,10,5,4,15,7,4,1,3,3,1,4,0,24,85,16,545,85,11,27,19,12,6,9,1,460
2012,139,11,1708,Peso da Régua,85,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,1,2,0,0,1,20
2012,21,11,1805,Lamego,263,34,18,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,4,6,6,92,26,2,5,10,2,1,6,0,66
2012,152,11,1703,Chaves,581,84,49,1,3,0,2,0,6,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,2,0,10,0,1,0,1,0,2,0,4,2,1,6,0,1,0,2,0,0,0,0,11,13,11,204,25,5,3,8,1,2,6,0,179
2012,195,11,1317,Vila Nova de Gaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,162,11,0107,Espinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,87,11,1317,Vila Nova de Gaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,99,11,1311,Penafiel,1431,291,181,0,25,3,8,0,20,0,0,2,0,0,2,0,3,0,17,0,0,4,0,0,4,0,20,0,0,0,1,0,0,0,16,0,5,29,4,10,3,1,0,0,4,0,8,63,39,463,56,2,22,24,4,1,2,1,407
2012,40,11,1301,Amarante,213,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,81,4,0,0,3,1,0,0,0,77
2012,74,11,1312,Porto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,171,11,1312,Porto,418,90,67,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,23,0,186,75,0,50,3,19,3,0,0,111
2012,15,11,1312,Porto,116,17,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,4,0,0,1,1,1,1,0,28
2012,11,17,1106,Lisboa,710,98,62,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,51,0,1,0,0,0,0,0,36,0,181,20,0,0,0,17,1,1,1,161
2012,19,17,1105,Cascais,941,197,150,1,15,0,3,0,21,0,0,0,1,0,0,0,4,0,23,0,0,1,0,0,3,0,21,0,0,0,4,0,6,0,8,3,1,20,4,3,0,8,0,0,0,0,23,20,4,329,43,4,20,5,2,0,12,0,286
2012,39,17,1106,Lisboa,5325,1161,719,13,51,6,31,13,40,0,7,9,13,18,12,14,16,3,33,13,12,13,0,4,10,0,76,0,17,14,20,8,25,3,13,9,31,58,28,31,2,18,5,16,13,0,9,332,101,1515,0,0,0,0,0,0,0,0,1515
2012,9,17,1106,Lisboa,1147,174,135,4,8,5,12,6,14,0,0,0,0,1,0,1,7,0,0,0,3,3,0,1,2,0,18,0,0,0,0,0,0,0,0,9,0,0,39,0,0,2,0,0,0,0,1,38,0,381,0,0,0,0,0,0,0,0,381
2012,178,11,1313,Póvoa de Varzim,432,59,49,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,2,11,0,2,0,0,0,0,0,0,5,0,5,160,30,4,14,7,1,2,2,0,130
2012,215,11,1316,Vila do Conde,154,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,52,9,0,1,2,1,0,5,0,43
2012,191,16,0912,Seia,158,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,13,0,2,5,0,2,4,0,50
2012,172,18,0213,Serpa,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,1,0,0,1,1,22
2012,176,11,1609,Viana do Castelo,1627,336,191,3,25,0,5,0,21,0,0,0,2,0,2,3,3,0,18,0,0,2,0,1,3,6,28,0,6,0,0,0,6,0,10,6,1,19,5,8,1,1,0,0,6,0,20,92,33,524,75,8,19,20,7,3,16,2,449
2012,43,11,1607,Ponte de Lima,248,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,10,7,4,83,10,0,0,4,0,0,6,0,73
2012,104,16,1006,Caldas da Rainha,645,98,61,0,7,0,1,0,8,0,0,0,1,0,0,0,3,0,7,0,0,2,0,0,3,0,9,0,0,0,1,0,0,0,6,2,1,8,0,1,0,1,0,0,0,0,1,13,23,221,32,8,11,6,1,1,4,1,189
2012,103,16,1006,Caldas da Rainha,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,49,16,1001,Alcobaça,121,5,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,5,1,0,3,0,0,1,0,47
2012,183,16,1014,Peniche,104,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,2,0,0,0,0,33
2012,150,11,0113,Oliveira de Azeméis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,112,11,0116,São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,29,17,1106,Lisboa,139,49,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,0,0,0,0,0,0,0,0,21
2012,3,17,1110,Oeiras,96,13,10,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,3,0,0,29,9,0,0,0,3,1,4,1,20
2012,67,17,1106,Lisboa,191,42,42,0,1,0,2,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,4,0,2,8,2,0,0,1,1,0,3,0,3,1,0,0,0,3,0,2,0,0,2,0,0,0,0,32,5,0,0,3,0,0,2,0,27
2012,44,11,1312,Porto,66,21,16,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,5,0,0,10,2,0,0,1,1,0,0,0,8
2012,85,11,1312,Porto,491,132,76,0,4,1,3,0,4,0,0,3,2,0,1,1,2,0,3,0,0,1,8,0,2,1,5,0,1,2,2,0,6,2,6,3,2,0,1,3,0,3,0,1,3,0,56,0,0,99,6,0,1,3,0,1,1,0,93
2012,168,16,1408,Constância,59,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1,0,0,0,16
