ANO,NORDEM,NUTS2,C10001,C20001,C21001,C21011,C21021,C21031,C21041,C21061,C21071,C21081,C21091,C21101,C21111,C21121,C21131,C21141,C21151,C21161,C21171,C21181,C21191,C21201,C21211,C21221,C21231,C21241,C21251,C21261,C21271,C21281,C21291,C21301,C21311,C21321,C21331,C21341,C21351,C21361,C21371,C21381,C21391,C21401,C21411,C21421,C21431,C21441,C22001,C23001,C24001,C30001,C31001,C31011,C31021,C31031,C31041,C31051,C31061,C31071,C32001,t_cirurgia
2012.0,229.0,17,1458.0,247.0,159.0,2.0,11.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,7.0,6.0,10.0,13.0,7.0,5.0,1.0,5.0,4.0,0.0,2.0,0.0,4.0,57.0,27.0,493.0,39.0,8.0,19.0,2.0,2.0,3.0,5.0,0.0,454.0,yes
2012.0,206.0,17,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,no
2012.0,65.0,16,894.0,111.0,38.25,0.0,8.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,2.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,18.0,4.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,yes
2012.0,106.0,17,801.0,166.0,108.0,0.0,12.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,12.0,4.0,1.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,22.0,29.0,264.0,36.0,4.0,16.0,5.0,2.0,2.0,7.0,0.0,228.0,yes
2012.0,209.0,11,221.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,80.0,yes
2012.0,115.0,16,1461.0,246.0,171.0,2.0,20.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,15.0,4.0,1.0,16.0,1.0,8.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,49.0,26.0,566.0,48.0,11.0,21.0,3.0,8.0,1.0,3.0,1.0,518.0,yes
2012.0,189.0,16,136.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,53.0,yes
2012.0,199.0,16,2032.0,483.0,299.0,2.0,30.0,2.0,12.0,0.0,25.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,21.0,3.0,0.0,1.0,0.0,1.0,5.0,22.0,35.0,0.0,7.0,3.0,5.0,3.0,8.0,2.0,16.0,6.0,8.0,24.0,9.0,13.0,2.0,13.0,0.0,2.0,5.0,0.0,5.0,143.0,36.0,680.0,103.0,21.0,26.0,17.0,18.0,4.0,14.0,3.0,577.0,yes
2012.0,57.0,11,586.0,86.0,51.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,13.0,237.0,53.0,7.0,12.0,14.0,7.0,4.0,7.0,2.0,184.0,yes
2012.0,148.0,11,262.0,17.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.0,17.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,73.0,no
2012.0,124.0,11,293.0,36.0,33.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,106.0,15.0,4.0,0.0,7.0,0.0,1.0,3.0,0.0,91.0,yes
2012.0,88.0,16,190.0,17.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,86.0,10.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,76.0,yes
2012.0,118.0,16,79.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,yes
2012.0,205.0,30,515.0,83.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,197.0,10.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,187.0,yes
2012.0,131.0,30,169.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,48.0,no
2012.0,41.0,20,488.0,46.0,30.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,2.0,126.0,19.0,1.0,8.0,7.0,0.0,0.0,1.0,2.0,107.0,yes
2012.0,130.0,18,415.0,43.0,34.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,165.0,12.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,153.0,no
2012.0,75.0,16,180.0,27.0,27.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,42.0,no
2012.0,128.0,16,119.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,29.0,no
2012.0,111.0,16,105.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,no
2012.0,14.0,11,392.0,53.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,128.0,76.0,0.0,0.0,0.0,72.0,2.0,2.0,0.0,52.0,no
2012.0,151.0,17,2587.0,529.0,337.0,3.0,32.0,0.0,14.0,0.0,20.0,1.0,4.0,3.0,0.0,4.0,2.0,0.0,10.0,0.0,22.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,47.0,0.0,7.0,0.0,9.0,4.0,16.0,7.0,13.0,12.0,7.0,34.0,11.0,18.0,2.0,13.0,0.0,0.0,8.0,0.0,17.0,146.0,29.0,833.0,40.0,8.0,11.0,6.0,3.0,0.0,0.0,12.0,793.0,no
2012.0,217.0,16,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,no
2012.0,153.0,16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
2012.0,218.0,16,65.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,no
2012.0,42.0,11,29.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,yes
2012.0,221.0,11,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,yes
2012.0,12.0,17,71.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,yes
2012.0,71.0,17,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,yes
2012.0,6.0,16,147.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,48.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,43.0,yes
2012.0,138.0,16,120.0,16.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,no
2012.0,149.0,11,491.0,75.0,48.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,18.0,172.0,16.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,156.0,yes
2012.0,200.0,11,1685.0,364.0,240.0,3.0,37.0,0.0,6.0,0.0,16.0,0.0,0.0,2.0,4.0,3.0,3.0,1.0,5.0,0.0,19.0,2.0,1.0,2.0,0.0,0.0,5.0,3.0,31.0,0.0,1.0,0.0,2.0,5.0,9.0,2.0,12.0,10.0,7.0,27.0,4.0,4.0,1.0,7.0,0.0,0.0,6.0,0.0,11.0,82.0,31.0,604.0,94.0,15.0,32.0,28.0,5.0,2.0,11.0,1.0,510.0,yes
2012.0,59.0,16,930.0,152.0,122.0,7.0,11.0,0.0,3.0,0.0,14.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,5.0,0.0,9.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0,8.0,8.0,0.0,4.0,0.0,0.0,30.0,0.0,252.0,20.0,1.0,0.0,10.0,1.0,6.0,2.0,0.0,232.0,yes
2012.0,105.0,18,1359.0,251.0,146.0,2.0,14.0,1.0,8.0,0.0,12.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,7.0,4.0,3.0,15.0,4.0,8.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,74.0,29.0,457.0,75.0,14.0,17.0,13.0,9.0,4.0,10.0,8.0,382.0,no
2012.0,146.0,17,2481.0,493.0,314.0,4.0,28.0,5.0,16.0,0.0,15.0,1.0,2.0,2.0,8.0,3.0,5.0,0.0,9.0,0.0,18.0,4.0,0.0,3.0,0.0,1.0,7.0,0.0,25.0,4.0,10.0,8.0,8.0,7.0,10.0,3.0,9.0,9.0,13.0,30.0,9.0,10.0,4.0,10.0,0.0,7.0,7.0,0.0,7.0,141.0,31.0,870.0,77.0,12.0,35.0,5.0,2.0,4.0,12.0,7.0,793.0,no
2012.0,175.0,16,577.0,65.0,45.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,178.0,16.0,2.0,2.0,6.0,1.0,0.0,5.0,0.0,162.0,yes
2012.0,120.0,16,778.0,74.0,58.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,329.0,36.0,9.0,12.0,5.0,2.0,1.0,7.0,0.0,293.0,yes
2012.0,213.0,16,482.0,53.0,44.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,6.0,159.0,16.0,2.0,2.0,2.0,4.0,0.0,2.0,4.0,143.0,no
2012.0,32.0,17,1845.0,293.0,217.0,11.0,25.0,0.0,3.0,0.0,21.0,1.0,2.0,1.0,5.0,0.0,5.0,4.0,9.0,0.0,6.0,13.0,0.0,7.0,0.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,7.0,0.0,1.0,14.0,0.0,9.0,7.0,10.0,7.0,3.0,0.0,17.0,12.0,0.0,5.0,0.0,2.0,74.0,0.0,512.0,18.0,2.0,0.0,6.0,3.0,2.0,3.0,2.0,494.0,yes
2012.0,154.0,16,171.0,24.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,52.0,6.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,46.0,yes
2012.0,208.0,15,183.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,yes
2012.0,164.0,15,1391.0,172.0,118.0,1.0,11.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,15.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,7.0,4.0,3.0,8.0,4.0,4.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,33.0,21.0,526.0,34.0,9.0,13.0,6.0,4.0,0.0,0.0,2.0,492.0,yes
